IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
109.74.197.22,4,4,0.00,280.87,0.00,LHR
139.177.179.81,4,4,0.00,281.03,0.00,FRA
15.204.90.151,4,4,0.00,281.93,0.00,PDX
194.36.170.247,4,4,0.00,282.02,0.00,CDG
148.113.202.252,4,4,0.00,283.26,0.00,YUL
40.160.4.233,4,4,0.00,283.92,0.00,IAD
193.124.18.25,4,4,0.00,283.96,0.00,LAX
15.204.90.138,4,4,0.00,284.09,0.00,PDX
193.124.18.175,4,4,0.00,284.11,0.00,LAX
194.87.54.32,4,4,0.00,284.30,0.00,FRA
40.160.9.1,4,4,0.00,284.51,0.00,IAD
15.204.89.41,4,4,0.00,284.89,0.00,PDX
194.58.33.103,4,4,0.00,284.91,0.00,FRA
193.124.18.247,4,4,0.00,285.80,0.00,LAX
193.124.18.240,4,4,0.00,286.14,0.00,LAX
15.204.90.119,4,4,0.00,287.77,0.00,PDX
91.149.223.242,4,4,0.00,288.31,0.00,FRA
194.87.105.205,4,4,0.00,288.38,0.00,FRA
109.74.197.244,4,4,0.00,289.22,0.00,LHR
15.204.90.225,4,4,0.00,289.65,0.00,PDX
192.124.175.226,4,4,0.00,289.75,0.00,CDG
47.89.155.85,4,4,0.00,289.89,0.00,IAD
139.162.145.250,4,4,0.00,290.24,0.00,FRA
